各時段打包紀錄 日期: 2022/5/26 11:10:41打包日期: 20220526 位址: D1400, 打包數: 0 位址: D1450, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:45打包日期: 20220526 位址: D1417, 打包數: 0 位址: D1467, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:45打包日期: 20220526 位址: D1418, 打包數: 0 位址: D1468, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:45打包日期: 20220526 位址: D1419, 打包數: 0 位址: D1469, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:45打包日期: 20220526 位址: D1420, 打包數: 0 位址: D1470, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:46打包日期: 20220526 位址: D1421, 打包數: 0 位址: D1471, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:46打包日期: 20220526 位址: D1422, 打包數: 0 位址: D1472, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:46打包日期: 20220526 位址: D1423, 打包數: 0 位址: D1473, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:46打包日期: 20220525 位址: D1500, 打包數: 0 位址: D1550, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:46打包日期: 20220525 位址: D1501, 打包數: 0 位址: D1551, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:47打包日期: 20220525 位址: D1502, 打包數: 0 位址: D1552, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:47打包日期: 20220525 位址: D1503, 打包數: 0 位址: D1553, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:47打包日期: 20220525 位址: D1504, 打包數: 0 位址: D1554, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:47打包日期: 20220525 位址: D1505, 打包數: 0 位址: D1555, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:47打包日期: 20220525 位址: D1506, 打包數: 0 位址: D1556, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:47打包日期: 20220525 位址: D1507, 打包數: 0 位址: D1557, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:48打包日期: 20220525 位址: D1508, 打包數: 0 位址: D1558, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:48打包日期: 20220525 位址: D1509, 打包數: 3 位址: D1559, 用電: 6
各時段打包紀錄 日期: 2022/5/26 11:10:48打包日期: 20220525 位址: D1510, 打包數: 0 位址: D1560, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:48打包日期: 20220525 位址: D1511, 打包數: 0 位址: D1561, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:48打包日期: 20220525 位址: D1512, 打包數: 0 位址: D1562, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:49打包日期: 20220525 位址: D1513, 打包數: 0 位址: D1563, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:49打包日期: 20220525 位址: D1514, 打包數: 3 位址: D1564, 用電: 8
各時段打包紀錄 日期: 2022/5/26 11:10:49打包日期: 20220525 位址: D1515, 打包數: 6 位址: D1565, 用電: 13
各時段打包紀錄 日期: 2022/5/26 11:10:49打包日期: 20220525 位址: D1516, 打包數: 1 位址: D1566, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:49打包日期: 20220525 位址: D1517, 打包數: 0 位址: D1567, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:49打包日期: 20220525 位址: D1518, 打包數: 0 位址: D1568, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:50打包日期: 20220525 位址: D1519, 打包數: 0 位址: D1569, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:50打包日期: 20220525 位址: D1520, 打包數: 0 位址: D1570, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:50打包日期: 20220525 位址: D1521, 打包數: 0 位址: D1571, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:50打包日期: 20220525 位址: D1522, 打包數: 0 位址: D1572, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:50打包日期: 20220525 位址: D1523, 打包數: 0 位址: D1573, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:19打包日期: 20220526 位址: D1400, 打包數: 0 位址: D1450, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:20打包日期: 20220526 位址: D1401, 打包數: 0 位址: D1451, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:20打包日期: 20220526 位址: D1402, 打包數: 0 位址: D1452, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:20打包日期: 20220526 位址: D1403, 打包數: 0 位址: D1453, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:20打包日期: 20220526 位址: D1404, 打包數: 0 位址: D1454, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:20打包日期: 20220526 位址: D1405, 打包數: 0 位址: D1455, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:21打包日期: 20220526 位址: D1406, 打包數: 0 位址: D1456, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:21打包日期: 20220526 位址: D1407, 打包數: 0 位址: D1457, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:21打包日期: 20220526 位址: D1408, 打包數: 0 位址: D1458, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:21打包日期: 20220526 位址: D1409, 打包數: 0 位址: D1459, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:21打包日期: 20220526 位址: D1410, 打包數: 0 位址: D1460, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:21打包日期: 20220526 位址: D1411, 打包數: 0 位址: D1461, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:22打包日期: 20220526 位址: D1412, 打包數: 0 位址: D1462, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:22打包日期: 20220526 位址: D1413, 打包數: 0 位址: D1463, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:22打包日期: 20220526 位址: D1414, 打包數: 0 位址: D1464, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:22打包日期: 20220526 位址: D1415, 打包數: 0 位址: D1465, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:22打包日期: 20220526 位址: D1416, 打包數: 0 位址: D1466, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:23打包日期: 20220526 位址: D1417, 打包數: 0 位址: D1467, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:23打包日期: 20220526 位址: D1418, 打包數: 0 位址: D1468, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:23打包日期: 20220526 位址: D1419, 打包數: 0 位址: D1469, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:23打包日期: 20220526 位址: D1420, 打包數: 0 位址: D1470, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:23打包日期: 20220526 位址: D1421, 打包數: 0 位址: D1471, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:23打包日期: 20220526 位址: D1422, 打包數: 0 位址: D1472, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:24打包日期: 20220526 位址: D1423, 打包數: 0 位址: D1473, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:24打包日期: 20220525 位址: D1500, 打包數: 0 位址: D1550, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:24打包日期: 20220525 位址: D1501, 打包數: 0 位址: D1551, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:24打包日期: 20220525 位址: D1502, 打包數: 0 位址: D1552, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:24打包日期: 20220525 位址: D1503, 打包數: 0 位址: D1553, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:25打包日期: 20220525 位址: D1504, 打包數: 0 位址: D1554, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:25打包日期: 20220525 位址: D1505, 打包數: 0 位址: D1555, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:26打包日期: 20220525 位址: D1506, 打包數: 0 位址: D1556, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:26打包日期: 20220525 位址: D1507, 打包數: 0 位址: D1557, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:26打包日期: 20220525 位址: D1508, 打包數: 0 位址: D1558, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:26打包日期: 20220525 位址: D1509, 打包數: 3 位址: D1559, 用電: 6
各時段打包紀錄 日期: 2022/5/26 11:17:26打包日期: 20220525 位址: D1510, 打包數: 0 位址: D1560, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:26打包日期: 20220525 位址: D1511, 打包數: 0 位址: D1561, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:27打包日期: 20220525 位址: D1512, 打包數: 0 位址: D1562, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:27打包日期: 20220525 位址: D1513, 打包數: 0 位址: D1563, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:27打包日期: 20220525 位址: D1514, 打包數: 3 位址: D1564, 用電: 8
各時段打包紀錄 日期: 2022/5/26 11:17:27打包日期: 20220525 位址: D1515, 打包數: 6 位址: D1565, 用電: 13
各時段打包紀錄 日期: 2022/5/26 11:17:27打包日期: 20220525 位址: D1516, 打包數: 1 位址: D1566, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:28打包日期: 20220525 位址: D1517, 打包數: 0 位址: D1567, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:28打包日期: 20220525 位址: D1518, 打包數: 0 位址: D1568, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:28打包日期: 20220525 位址: D1519, 打包數: 0 位址: D1569, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:28打包日期: 20220525 位址: D1520, 打包數: 0 位址: D1570, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:28打包日期: 20220525 位址: D1521, 打包數: 0 位址: D1571, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:29打包日期: 20220525 位址: D1522, 打包數: 0 位址: D1572, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:17:29打包日期: 20220525 位址: D1523, 打包數: 0 位址: D1573, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:57打包日期: 20220526 位址: D1400, 打包數: 0 位址: D1450, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:57打包日期: 20220526 位址: D1401, 打包數: 0 位址: D1451, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:57打包日期: 20220526 位址: D1402, 打包數: 0 位址: D1452, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:57打包日期: 20220526 位址: D1403, 打包數: 0 位址: D1453, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:58打包日期: 20220526 位址: D1404, 打包數: 0 位址: D1454, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:58打包日期: 20220526 位址: D1405, 打包數: 0 位址: D1455, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:58打包日期: 20220526 位址: D1406, 打包數: 0 位址: D1456, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:58打包日期: 20220526 位址: D1407, 打包數: 0 位址: D1457, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:58打包日期: 20220526 位址: D1408, 打包數: 0 位址: D1458, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:59打包日期: 20220526 位址: D1409, 打包數: 0 位址: D1459, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:59打包日期: 20220526 位址: D1410, 打包數: 0 位址: D1460, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:59打包日期: 20220526 位址: D1411, 打包數: 0 位址: D1461, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:59打包日期: 20220526 位址: D1412, 打包數: 0 位址: D1462, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:59打包日期: 20220526 位址: D1413, 打包數: 0 位址: D1463, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:22:59打包日期: 20220526 位址: D1414, 打包數: 0 位址: D1464, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:00打包日期: 20220526 位址: D1415, 打包數: 0 位址: D1465, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:00打包日期: 20220526 位址: D1416, 打包數: 0 位址: D1466, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:00打包日期: 20220526 位址: D1417, 打包數: 0 位址: D1467, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:00打包日期: 20220526 位址: D1418, 打包數: 0 位址: D1468, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:00打包日期: 20220526 位址: D1419, 打包數: 0 位址: D1469, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:01打包日期: 20220526 位址: D1420, 打包數: 0 位址: D1470, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:01打包日期: 20220526 位址: D1421, 打包數: 0 位址: D1471, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:01打包日期: 20220526 位址: D1422, 打包數: 0 位址: D1472, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:01打包日期: 20220526 位址: D1423, 打包數: 0 位址: D1473, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:01打包日期: 20220525 位址: D1500, 打包數: 0 位址: D1550, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:01打包日期: 20220525 位址: D1501, 打包數: 0 位址: D1551, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:02打包日期: 20220525 位址: D1502, 打包數: 0 位址: D1552, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:02打包日期: 20220525 位址: D1503, 打包數: 0 位址: D1553, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:02打包日期: 20220525 位址: D1504, 打包數: 0 位址: D1554, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:02打包日期: 20220525 位址: D1505, 打包數: 0 位址: D1555, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:02打包日期: 20220525 位址: D1506, 打包數: 0 位址: D1556, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:03打包日期: 20220525 位址: D1507, 打包數: 0 位址: D1557, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:03打包日期: 20220525 位址: D1508, 打包數: 0 位址: D1558, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:03打包日期: 20220525 位址: D1509, 打包數: 3 位址: D1559, 用電: 6
各時段打包紀錄 日期: 2022/5/26 11:23:03打包日期: 20220525 位址: D1510, 打包數: 0 位址: D1560, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:03打包日期: 20220525 位址: D1511, 打包數: 0 位址: D1561, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:03打包日期: 20220525 位址: D1512, 打包數: 0 位址: D1562, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:04打包日期: 20220525 位址: D1513, 打包數: 0 位址: D1563, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:04打包日期: 20220525 位址: D1514, 打包數: 3 位址: D1564, 用電: 8
各時段打包紀錄 日期: 2022/5/26 11:23:04打包日期: 20220525 位址: D1515, 打包數: 6 位址: D1565, 用電: 13
各時段打包紀錄 日期: 2022/5/26 11:23:04打包日期: 20220525 位址: D1516, 打包數: 1 位址: D1566, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:04打包日期: 20220525 位址: D1517, 打包數: 0 位址: D1567, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:05打包日期: 20220525 位址: D1518, 打包數: 0 位址: D1568, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:05打包日期: 20220525 位址: D1519, 打包數: 0 位址: D1569, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:05打包日期: 20220525 位址: D1520, 打包數: 0 位址: D1570, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:05打包日期: 20220525 位址: D1521, 打包數: 0 位址: D1571, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:05打包日期: 20220525 位址: D1522, 打包數: 0 位址: D1572, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:23:06打包日期: 20220525 位址: D1523, 打包數: 0 位址: D1573, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:54打包日期: 20220526 位址: D1400, 打包數: 0 位址: D1450, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:54打包日期: 20220526 位址: D1401, 打包數: 0 位址: D1451, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:54打包日期: 20220526 位址: D1402, 打包數: 0 位址: D1452, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:55打包日期: 20220526 位址: D1403, 打包數: 0 位址: D1453, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:55打包日期: 20220526 位址: D1404, 打包數: 0 位址: D1454, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:55打包日期: 20220526 位址: D1405, 打包數: 0 位址: D1455, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:56打包日期: 20220526 位址: D1406, 打包數: 0 位址: D1456, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:56打包日期: 20220526 位址: D1407, 打包數: 0 位址: D1457, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:56打包日期: 20220526 位址: D1408, 打包數: 0 位址: D1458, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:57打包日期: 20220526 位址: D1409, 打包數: 0 位址: D1459, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:57打包日期: 20220526 位址: D1410, 打包數: 0 位址: D1460, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:57打包日期: 20220526 位址: D1411, 打包數: 0 位址: D1461, 用電: 1
各時段打包紀錄 日期: 2022/5/26 11:26:57打包日期: 20220526 位址: D1412, 打包數: 0 位址: D1462, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:57打包日期: 20220526 位址: D1413, 打包數: 0 位址: D1463, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:58打包日期: 20220526 位址: D1414, 打包數: 0 位址: D1464, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:58打包日期: 20220526 位址: D1415, 打包數: 0 位址: D1465, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:58打包日期: 20220526 位址: D1416, 打包數: 0 位址: D1466, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:58打包日期: 20220526 位址: D1417, 打包數: 0 位址: D1467, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:58打包日期: 20220526 位址: D1418, 打包數: 0 位址: D1468, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:59打包日期: 20220526 位址: D1419, 打包數: 0 位址: D1469, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:59打包日期: 20220526 位址: D1420, 打包數: 0 位址: D1470, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:59打包日期: 20220526 位址: D1421, 打包數: 0 位址: D1471, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:59打包日期: 20220526 位址: D1422, 打包數: 0 位址: D1472, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:26:59打包日期: 20220526 位址: D1423, 打包數: 0 位址: D1473, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:00打包日期: 20220525 位址: D1500, 打包數: 0 位址: D1550, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:00打包日期: 20220525 位址: D1501, 打包數: 0 位址: D1551, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:00打包日期: 20220525 位址: D1502, 打包數: 0 位址: D1552, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:00打包日期: 20220525 位址: D1503, 打包數: 0 位址: D1553, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:00打包日期: 20220525 位址: D1504, 打包數: 0 位址: D1554, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:01打包日期: 20220525 位址: D1505, 打包數: 0 位址: D1555, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:01打包日期: 20220525 位址: D1506, 打包數: 0 位址: D1556, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:01打包日期: 20220525 位址: D1507, 打包數: 0 位址: D1557, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:01打包日期: 20220525 位址: D1508, 打包數: 0 位址: D1558, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:01打包日期: 20220525 位址: D1509, 打包數: 3 位址: D1559, 用電: 6
各時段打包紀錄 日期: 2022/5/26 11:27:01打包日期: 20220525 位址: D1510, 打包數: 0 位址: D1560, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:02打包日期: 20220525 位址: D1511, 打包數: 0 位址: D1561, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:02打包日期: 20220525 位址: D1512, 打包數: 0 位址: D1562, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:02打包日期: 20220525 位址: D1513, 打包數: 0 位址: D1563, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:02打包日期: 20220525 位址: D1514, 打包數: 3 位址: D1564, 用電: 8
各時段打包紀錄 日期: 2022/5/26 11:27:02打包日期: 20220525 位址: D1515, 打包數: 6 位址: D1565, 用電: 13
各時段打包紀錄 日期: 2022/5/26 11:27:03打包日期: 20220525 位址: D1516, 打包數: 1 位址: D1566, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:03打包日期: 20220525 位址: D1517, 打包數: 0 位址: D1567, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:03打包日期: 20220525 位址: D1518, 打包數: 0 位址: D1568, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:03打包日期: 20220525 位址: D1519, 打包數: 0 位址: D1569, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:03打包日期: 20220525 位址: D1520, 打包數: 0 位址: D1570, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:04打包日期: 20220525 位址: D1521, 打包數: 0 位址: D1571, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:04打包日期: 20220525 位址: D1522, 打包數: 0 位址: D1572, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:27:04打包日期: 20220525 位址: D1523, 打包數: 0 位址: D1573, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:21打包日期: 20220526 位址: D1400, 打包數: 0 位址: D1450, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:21打包日期: 20220526 位址: D1401, 打包數: 0 位址: D1451, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:21打包日期: 20220526 位址: D1402, 打包數: 0 位址: D1452, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:22打包日期: 20220526 位址: D1403, 打包數: 0 位址: D1453, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:22打包日期: 20220526 位址: D1404, 打包數: 0 位址: D1454, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:22打包日期: 20220526 位址: D1405, 打包數: 0 位址: D1455, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:22打包日期: 20220526 位址: D1406, 打包數: 0 位址: D1456, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:22打包日期: 20220526 位址: D1407, 打包數: 0 位址: D1457, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:23打包日期: 20220526 位址: D1408, 打包數: 0 位址: D1458, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:23打包日期: 20220526 位址: D1409, 打包數: 0 位址: D1459, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:23打包日期: 20220526 位址: D1410, 打包數: 0 位址: D1460, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:23打包日期: 20220526 位址: D1411, 打包數: 2 位址: D1461, 用電: 5
各時段打包紀錄 日期: 2022/5/26 11:32:23打包日期: 20220526 位址: D1412, 打包數: 0 位址: D1462, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:23打包日期: 20220526 位址: D1413, 打包數: 0 位址: D1463, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:24打包日期: 20220526 位址: D1414, 打包數: 0 位址: D1464, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:24打包日期: 20220526 位址: D1415, 打包數: 0 位址: D1465, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:24打包日期: 20220526 位址: D1416, 打包數: 0 位址: D1466, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:24打包日期: 20220526 位址: D1417, 打包數: 0 位址: D1467, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:24打包日期: 20220526 位址: D1418, 打包數: 0 位址: D1468, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:25打包日期: 20220526 位址: D1419, 打包數: 0 位址: D1469, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:25打包日期: 20220526 位址: D1420, 打包數: 0 位址: D1470, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:32:25打包日期: 20220526 位址: D1421, 打包數: 0 位址: D1471, 用電: 0
